player_id,player_name,driver_rank,driver_avg,driver_pct_rank,driver_pct,prox_rank,prox_feet,pct_purse_won,purse_won,purse_avail
63343,Aldrich Potgieter,1,325,156,55.60%,163,39,0.0143,3038146,211900000
28237,Rory McIlroy,2,323,177,51.20%,154,38.4,0.0565,16992418,301000000
52453,Nicolai Højgaard,3,318.8,171,53.20%,141,38.1,0.0097,1897477,195300000
57586,Jesper Svensson,4,318.6,144,56.70%,150,38.3,0.0054,1292826,238900000
48117,Kurt Kitayama,5,318,135,57.80%,5,33.9,0.0136,3476376,254900000
57364,Michael Thorbjornsen,6,317.8,48,64.20%,51,36.3,0.0102,2286658,224400000
59095,Chris Gotterup,7,316.7,154,55.80%,157,38.6,0.0144,4844784,337200000
34255,Joseph Bramlett,8,316.4,150,55.90%,33,35.7,0.0037,489712,133800000
49453,Trevor Cone,9,315.4,106,59.80%,97,37.2,0.0027,544059,203500000
35706,Niklas Norgaard,10,315.3,175,51.60%,172,39.7,0.0027,543656,198200000
52686,Rasmus Højgaard,11,314.9,155,55.70%,154,38.4,0.0079,2103443,267600000
39546,Keith Mitchell,12,314.2,96,60.40%,73,36.7,0.0078,2014835,256700000
38991,Alejandro Tosti,12,314.2,147,56.20%,117,37.5,0.0057,1010144,177100000
52955,Ludvig Åberg,14,313.9,110,59.50%,27,35.4,0.0217,8276973,381100000
37378,Min Woo Lee,15,313.8,159,55.50%,73,36.7,0.0105,3301286,315000000
47420,Jake Knapp,16,313.4,157,55.60%,130,37.8,0.0109,3012401,277200000
57366,Cameron Young,17,313.2,167,53.90%,141,38.1,0.0208,8789813,422500000
31323,Gary Woodland,18,313,115,59.00%,33,35.7,0.0071,2044795,288800000
54421,Garrick Higgo,19,312.9,128,58.10%,162,38.8,0.0188,2448383,130100000
50474,Tim Widing,19,312.9,153,55.80%,163,39,0.0005,80950,153000000
66743,Luke Clanton,21,312.6,114,59.10%,54,36.3,0.0016,251429,155500000
56762,Will Gordon,21,312.6,129,58.10%,44,36.1,0.0038,808904,213400000
46601,Trey Mullinax,23,312.3,172,52.60%,73,36.7,0.0031,615755,201500000
48081,Xander Schauffele,24,311.9,158,55.60%,121,37.6,0.0167,4839866,289200000
51766,Wyndham Clark,25,311.7,160,55.50%,128,37.7,0.0078,2883112,371000000
59836,Pierceson Coody,26,311.5,56,63.30%,85,36.8,0.0094,1171494,124600000
56781,Isaiah Salinda,27,311.3,68,62.10%,133,37.8,0.0057,1363322,238000000
40250,Taylor Pendrith,28,311.2,119,58.70%,113,37.4,0.0105,3978452,377300000
59440,Ricky Castillo,29,311,91,60.60%,33,35.7,0.0064,1444455,225700000
57123,Steven Fisk,29,311,86,60.90%,51,36.3,0.009,1804525,200000000
48867,Matti Schmid,31,310.9,140,57.00%,37,35.8,0.0084,2303222,274700000
47988,Nick Hardy,32,310.8,125,58.30%,59,36.4,0.0021,432097,203900000
35658,Kris Ventura,32,310.8,63,62.70%,21,35.1,0.0051,1180201,230900000
27129,Luke List,34,309.8,57,63.20%,157,38.6,0.0027,634020,230900000
63121,William Mouw,35,309.5,72,61.90%,121,37.6,0.0086,1597314,186700000
45242,Kevin Yu,36,309.4,55,63.30%,78,36.8,0.0074,2536810,342900000
50484,Hayden Springer,37,309.2,132,58.00%,141,38.1,0.0057,1031846,181800000
36699,Patrick Rodgers,38,309.1,103,60.00%,101,37.3,0.008,2793088,351000000
60882,Thomas Rosenmueller,39,309,64,62.40%,27,35.4,0.0029,556197,191200000
27064,Jhonattan Vegas,39,309,165,54.20%,172,39.7,0.0089,2795198,315000000
29936,Ryan Fox,41,308.7,173,52.30%,97,37.2,0.0148,3981947,269700000
51977,Max Greyserman,42,308.6,152,55.80%,148,38.3,0.0094,3798185,403400000
54304,Karl Vilips,43,308.5,145,56.60%,62,36.5,0.007,1479028,211400000
49947,Taylor Moore,44,308.3,115,59.00%,159,38.7,0.0056,1424004,255900000
46046,Scottie Scheffler,44,308.3,59,63.00%,1,33.3,0.0776,27659550,356600000
27139,David Skinns,44,308.3,121,58.60%,27,35.4,0.0035,783457,221400000
46646,Antoine Rozner,47,308.1,123,58.50%,62,36.5,0.0039,710529,182100000
60019,Jackson Suber,47,308.1,137,57.30%,54,36.3,0.0057,1254486,221700000
40006,Erik van Rooyen,49,307.9,111,59.30%,94,37.1,0.0076,2142196,280800000
51696,Rico Hoey,50,307.7,18,67.70%,6,34,0.0097,2536072,261900000
51894,Vince Whaley,50,307.7,147,56.20%,130,37.8,0.0077,1869447,242900000
47504,Sam Burns,52,307.5,97,60.20%,113,37.4,0.0161,6801982,422800000
54607,Danny Walker,53,307.4,149,55.90%,141,38.1,0.0073,1561918,215100000
33597,Harry Higgs,54,307.2,112,59.20%,97,37.2,0.0041,908846,220700000
46442,Maverick McNealy,55,306.8,113,59.20%,135,37.9,0.0194,8322575,428600000
33948,Byeong Hun An,56,306.6,164,54.40%,168,39.2,0.007,2652079,381200000
34046,Jordan Spieth,56,306.6,129,58.10%,73,36.7,0.0103,3159660,307700000
33653,Thomas Detry,58,306.5,143,56.80%,113,37.4,0.0095,3651876,385100000
33141,Keegan Bradley,59,306.4,79,61.40%,31,35.6,0.0224,8702812,388800000
36799,Stephan Jaeger,60,306.3,163,54.70%,138,38,0.0069,2684801,387800000
46340,Alex Smalley,61,306.2,50,64.00%,91,37,0.0092,2337573,252900000
39324,J.J. Spaun,62,306.1,70,62.10%,21,35.1,0.0325,13278222,408700000
35450,Patrick Cantlay,63,305.9,117,58.90%,40,35.9,0.025,9441931,377400000
58605,Quade Cummins,64,305.7,134,57.80%,130,37.8,0.0028,556303,200700000
54576,Patrick Fishburn,65,305.6,127,58.30%,141,38.1,0.0055,1408119,257900000
39335,Kevin Roy,65,305.6,34,65.40%,18,35,0.0074,1734139,233700000
55893,Sam Stevens,67,305.5,109,59.70%,107,37.3,0.0108,4392752,405800000
32102,Rickie Fowler,68,305.3,52,63.70%,54,36.3,0.0111,3441954,311300000
33448,Justin Thomas,68,305.3,169,53.30%,107,37.3,0.0283,10896155,385200000
32070,Rafael Campos,70,305.2,151,55.90%,165,39.1,0.0007,216757,301700000
54591,Ben Griffin,71,305.1,101,60.00%,150,38.3,0.0273,11724352,429200000
47995,Davis Riley,72,305,161,55.10%,168,39.2,0.0075,2496448,333800000
29725,Tony Finau,73,304.9,141,56.90%,161,38.8,0.0076,2551493,337200000
50582,Jeremy Paul,73,304.9,136,57.60%,107,37.3,0.0043,823634,192500000
24502,Adam Scott,73,304.9,125,58.30%,69,36.6,0.0059,1803164,305800000
33968,Thorbjørn Olesen,76,304.7,43,64.30%,101,37.3,0.0064,1438925,224400000
58168,Davis Thompson,76,304.7,49,64.10%,33,35.7,0.0065,2439587,378000000
47347,Adam Schenk,78,304.6,146,56.40%,14,34.8,0.0076,2016294,266400000
55708,Hayden Buckley,79,304.5,31,65.60%,30,35.5,0.0022,379692,174600000
39859,Cristobal Del Solar,79,304.5,174,51.70%,121,37.6,0.0013,250132,191200000
59143,Mac Meissner,79,304.5,99,60.10%,45,36.2,0.0078,1762863,226900000
47679,Victor Perez,82,304.4,39,64.70%,69,36.6,0.0059,1341741,227700000
34099,Harris English,83,304.3,74,61.80%,154,38.4,0.0226,8840132,391300000
35461,Beau Hossler,84,303.9,162,54.90%,177,40,0.0058,1533612,265200000
57975,Harry Hall,85,303.6,131,58.10%,148,38.3,0.0128,4309601,335600000
64693,Matthew Riedel,85,303.6,108,59.70%,101,37.3,0.0016,287732,182500000
46717,Viktor Hovland,87,303.3,58,63.10%,10,34.4,0.0161,5824239,361200000
59018,Ryan Gerard,88,303.2,53,63.40%,117,37.5,0.0111,3872916,349000000
40026,Daniel Berger,89,302.9,25,66.40%,40,35.9,0.012,4115448,343700000
52375,Doug Ghim,89,302.9,45,64.30%,16,34.9,0.0046,1190108,257400000
48887,Matt Wallace,89,302.9,107,59.70%,171,39.3,0.0065,1570460,240500000
40098,Matt Fitzpatrick,92,302.7,81,61.30%,133,37.8,0.0107,3831413,358200000
52215,Robert MacIntyre,92,302.7,77,61.50%,94,37.1,0.0208,8467191,407100000
34587,Chan Kim,94,302.5,86,60.90%,62,36.5,0.0043,1007294,234900000
60004,Jacob Bridgeman,95,302.2,92,60.60%,85,36.8,0.0109,4437269,407100000
45157,Cam Davis,95,302.2,166,53.90%,150,38.3,0.006,2093245,351500000
52144,Braden Thornberry,95,302.2,168,53.70%,178,40.1,0.0016,301674,191200000
55789,Taylor Montgomery,98,302,176,51.40%,147,38.2,0.005,824353,164400000
22405,Justin Rose,99,301.9,122,58.50%,150,38.3,0.026,8857976,341100000
49590,Frankie Capan III,100,301.5,180,45.80%,180,40.8,0.0048,1108327,230900000
34021,Bud Cauley,101,301.4,82,61.20%,78,36.8,0.0114,3321090,291100000
35506,Mackenzie Hughes,102,301.3,142,56.80%,165,39.1,0.0071,2497976,352200000
34466,Peter Malnati,102,301.3,179,48.10%,168,39.2,0.0013,282493,215900000
51997,Andrew Novak,102,301.3,138,57.20%,117,37.5,0.0186,7788219,418300000
51634,Sahith Theegala,102,301.3,139,57.10%,138,38,0.0032,977539,307200000
39977,Max Homa,106,300.8,95,60.50%,101,37.3,0.005,1636827,327400000
36801,Mark Hubbard,107,300.7,67,62.20%,51,36.3,0.006,1763551,293400000
51690,Taylor Dickson,108,300.4,76,61.50%,69,36.6,0.0024,463642,190900000
37275,Sam Ryder,108,300.4,88,60.90%,45,36.2,0.0056,1314035,234900000
58933,Will Chandler,110,300.3,85,61.00%,176,39.8,0.0023,567658,247700000
28089,Jason Day,110,300.3,84,61.10%,179,40.7,0.0133,3740375,280500000
57362,Austin Eckroat,110,300.3,27,66.10%,31,35.6,0.0047,1675705,355900000
31646,Emiliano Grillo,110,300.3,13,68.50%,25,35.3,0.009,2315983,258200000
32839,Hideki Matsuyama,114,300.2,124,58.50%,10,34.4,0.0168,6650152,395500000
55165,Noah Goodwin,115,300.1,21,66.80%,107,37.3,0.0044,796403,182000000
35310,Lanto Griffin,115,300.1,78,61.50%,54,36.3,0.0042,1037926,247200000
60067,Joe Highsmith,117,299.9,75,61.60%,101,37.3,0.0075,2820859,376200000
33399,Adam Hadwin,118,299.8,69,62.10%,85,36.8,0.0031,1079946,347500000
54628,Lee Hodges,119,299.7,38,65.00%,45,36.2,0.0073,1617203,223000000
39975,Michael Kim,119,299.7,118,58.90%,62,36.5,0.0106,4105211,386600000
39327,Ben Silverman,119,299.7,47,64.20%,94,37.1,0.0034,766836,226900000
45523,Thriston Lawrence,122,299.5,61,63.00%,138,38,0.0037,728082,198500000
30911,Tommy Fleetwood,123,299.4,35,65.40%,91,37,0.0513,18496238,360200000
28775,Nate Lashley,123,299.4,98,60.10%,12,34.8,0.003,559402,185900000
59866,Nick Dunlap,125,299.3,178,51.10%,135,37.9,0.0034,1170325,349100000
55182,Tom Kim,125,299.3,102,60.00%,121,37.6,0.0046,1496889,325200000
40162,Justin Lower,125,299.3,41,64.50%,45,36.2,0.0047,1299525,278200000
47983,Chad Ramey,128,299.2,46,64.20%,73,36.7,0.0063,1490602,234900000
58619,Kevin Velo,128,299.2,42,64.30%,54,36.3,0.0014,290109,212700000
48153,Matthieu Pavon,130,299.1,62,62.80%,159,38.7,0.0017,634425,369500000
59141,Matt McCarty,131,298.9,37,65.10%,78,36.8,0.0078,2308452,295900000
56630,Akshay Bhatia,132,298.7,94,60.50%,18,35,0.0115,4882187,426100000
28252,Seamus Power,132,298.7,51,63.80%,59,36.4,0.0052,1318706,255600000
32757,Patton Kizzire,134,298.5,90,60.70%,117,37.5,0.0012,317724,257800000
34076,Joel Dahmen,135,298.4,6,71.20%,9,34.3,0.0052,1231952,237900000
50525,Collin Morikawa,136,298.3,7,70.70%,7,34.1,0.0205,7915347,385300000
39997,Corey Conners,137,298.2,23,66.60%,37,35.8,0.0216,8167903,378400000
51950,Max McGreevy,137,298.2,11,68.80%,107,37.3,0.0089,2522721,282900000
55623,Kaito Onishi,137,298.2,104,59.90%,78,36.8,0.0008,145336,190000000
33204,Shane Lowry,140,298.1,60,63.00%,16,34.9,0.0192,7082794,369700000
49960,Sepp Straka,141,297.9,30,65.70%,26,35.3,0.0276,10650894,386300000
47591,Eric Cole,142,297.7,133,57.90%,62,36.5,0.0059,2369702,400800000
30926,Chris Kirk,142,297.7,83,61.20%,40,35.9,0.0087,2964600,340000000
51287,Ryo Hisatsune,144,297.5,70,62.10%,91,37,0.0066,1835136,278900000
37455,Si Woo Kim,145,297.4,20,66.80%,78,36.8,0.0099,4184686,424700000
57900,Chandler Phillips,146,297.2,80,61.30%,121,37.6,0.0066,1518764,230900000
39971,Sungjae Im,147,296.9,16,68.00%,174,39.8,0.0113,5082896,451200000
33413,Ben Martin,148,296.7,73,61.90%,135,37.9,0.0022,335350,149900000
35532,Tom Hoge,149,296.3,93,60.50%,21,35.1,0.0101,4201600,416000000
47056,Rikuya Hoshino,150,296,66,62.20%,90,36.9,0.0022,363756,164800000
23320,Ryan Palmer,150,296,105,59.90%,174,39.8,0.0008,159928,193200000
52666,Sami Valimaki,152,295.9,65,62.40%,59,36.4,0.0135,3388761,250400000
52370,Mason Andersen,153,295.8,120,58.70%,141,38.1,0.0012,213335,183000000
40115,Adam Svensson,154,295.7,29,66.00%,69,36.6,0.0021,487188,234900000
49771,J.T. Poston,155,295.6,26,66.20%,113,37.4,0.0082,3233502,396700000
47993,Denny McCarthy,156,295.3,89,60.80%,107,37.3,0.0104,3871251,372700000
36884,Ben Kohles,157,295.2,4,73.10%,2,33.8,0.0029,658427,225600000
30163,Henrik Norlander,157,295.2,43,64.30%,78,36.8,0.0043,1015479,235900000
51890,Greyson Sigg,157,295.2,33,65.40%,12,34.8,0.0035,777250,221100000
25493,Nick Taylor,157,295.2,24,66.60%,85,36.8,0.0131,5431209,413700000
52513,Carson Young,161,294.8,19,67.30%,40,35.9,0.0049,1060007,216700000
51349,Nico Echavarria,162,294.7,40,64.50%,45,36.2,0.0086,2891343,334400000
27644,Brian Harman,163,294.6,54,63.30%,78,36.8,0.0134,5547660,414400000
36326,David Lipsky,164,293.6,36,65.30%,62,36.5,0.0058,1411093,242900000
25900,Lucas Glover,165,292.3,14,68.40%,8,34.2,0.0124,4397743,354200000
47917,Takumi Kanaya,166,292.1,1,74.10%,128,37.7,0.0058,1463762,253000000
29535,Brice Garnett,167,291.2,8,69.40%,45,36.2,0.003,631678,209100000
59160,John Pak,168,290.4,17,67.70%,39,35.8,0.0032,622055,191500000
45522,Christiaan Bezuidenhout,169,290,32,65.50%,101,37.3,0.0065,2434490,372100000
27770,Camilo Villegas,169,290,170,53.20%,97,37.2,0.0032,733788,227900000
46414,Aaron Rai,171,289.6,2,73.90%,121,37.6,0.0095,3274601,345200000
34098,Russell Henley,172,289.1,12,68.70%,3,33.8,0.04,14707570,367400000
40058,Zac Blair,173,287.1,15,68.20%,24,35.2,0.0041,663124,160000000
33199,Matteo Manassero,174,286,100,60.10%,165,39.1,0.0041,617348,151100000
24024,Zach Johnson,175,285.6,9,69.20%,14,34.8,0.0055,918478,168400000
27649,Brandt Snedeker,176,284.2,10,69.00%,85,36.8,0.0058,1192940,204500000
23108,Matt Kuchar,177,282.2,28,66.00%,18,35,0.007,1310380,186500000
36824,Paul Peterson,178,281.7,3,73.20%,3,33.8,0.0044,848337,191200000
34256,Andrew Putnam,179,280.5,5,71.80%,62,36.5,0.0059,1371617,234400000
46443,Brian Campbell,180,278.4,21,66.80%,121,37.6,0.0101,3370767,334200000
